bedrooms,bathrooms,stories,parking,width,length,quality,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price
2,1,1,0,46,113,1798,0,0,0,0,0,0,1,0,0,3570000
4,4,4,3,70,165,3010,1,0,0,0,1,0,1,0,0,12250000
2,1,1,0,41,95,1214,0,0,0,0,0,0,0,0,1,2604000
2,1,1,1,73,164,2155,1,0,0,0,0,0,1,0,0,3780000
3,2,1,0,60,146,2717,1,1,1,0,1,1,0,1,0,7420000
2,1,1,0,47,110,1913,1,0,0,0,0,0,0,0,1,3423000
4,2,2,0,51,117,2656,1,0,0,1,0,0,0,1,0,6650000
3,1,2,0,52,119,1846,1,0,1,0,1,0,0,1,0,4900000
5,1,2,1,57,140,2322,1,1,1,0,1,0,1,0,0,8120000
2,1,1,2,39,96,1528,1,0,1,0,0,0,1,0,0,3360000
3,1,2,1,44,107,2353,1,0,0,0,0,0,0,1,0,4480000
2,1,1,0,44,105,1955,0,0,0,0,1,0,0,0,1,3360000
3,1,2,0,29,70,1737,0,0,1,0,0,0,0,0,1,3150000
2,1,1,0,43,110,2025,0,0,0,0,0,0,0,1,0,3255000
3,1,1,0,51,128,1684,1,0,0,0,0,0,0,1,0,3710000
3,1,3,0,61,143,2279,1,0,1,0,0,1,0,0,1,6510000
2,1,1,1,36,94,1971,1,0,0,1,0,0,1,0,0,3920000
2,1,1,0,36,92,1799,1,0,0,0,0,0,0,0,1,2310000
4,2,4,1,49,127,2629,1,1,0,0,1,0,1,0,0,7350000
5,2,2,0,56,129,2110,1,0,0,0,0,0,0,1,0,3850000
2,1,1,1,61,141,2762,1,0,1,0,1,0,1,0,0,4473000
3,1,1,0,34,87,1406,1,0,0,0,0,0,0,0,1,2660000
2,1,2,0,36,90,1876,1,1,1,0,0,1,0,1,0,4620000
4,2,2,2,40,99,2844,1,0,0,1,0,0,1,0,0,9240000
3,1,1,0,60,138,2201,1,0,1,0,0,0,0,1,0,4130000
3,2,4,0,53,131,2603,1,0,0,0,1,0,0,1,0,6580000
3,1,2,0,35,91,1550,1,0,1,0,0,0,1,0,0,3570000
4,1,2,0,46,117,2150,1,0,0,0,1,0,0,1,0,4382000
3,1,3,0,51,129,2424,1,1,0,0,1,1,0,1,0,5460000
2,1,1,2,37,92,1301,1,0,1,0,0,0,0,0,1,1820000
4,1,2,0,47,107,1204,0,0,0,0,0,0,0,0,1,2940000
3,1,1,0,54,127,1544,0,0,0,0,1,1,0,0,1,2233000
3,3,2,0,40,100,1150,0,1,0,0,0,0,0,0,1,2660000
4,2,2,0,50,118,2008,1,0,1,0,0,0,0,1,0,4613000
3,2,2,0,43,98,2556,1,1,1,0,0,0,1,0,0,5110000
3,1,1,0,49,120,1529,0,0,0,0,0,0,0,0,1,3010000
3,1,2,0,40,103,1842,1,0,0,0,1,0,0,0,1,2653000
3,1,1,1,47,116,2841,1,0,1,0,1,1,1,0,0,7000000
2,1,1,0,41,109,1597,1,0,0,0,0,0,1,0,0,3010000
4,1,4,3,67,159,1992,1,0,0,0,0,0,0,0,1,4550000
3,2,1,2,59,143,3126,1,1,1,0,1,0,0,0,1,8680000
3,1,2,1,48,112,1789,1,0,1,0,0,0,0,1,0,4165000
3,1,2,0,49,116,1702,1,0,0,0,1,0,0,0,1,3143000
3,2,1,2,53,131,2160,1,0,1,0,0,1,1,0,0,5530000
5,1,2,0,26,70,1924,0,0,1,0,0,0,0,1,0,4340000
2,1,2,0,72,179,2647,1,0,0,0,0,1,1,0,0,5110000
2,1,1,0,50,117,1885,1,0,0,0,0,0,0,1,0,3605000
2,1,1,0,42,106,1533,1,0,0,0,0,0,0,0,1,3430000
2,1,1,0,53,131,1417,1,0,0,0,0,0,0,1,0,2870000
2,1,2,0,46,108,1976,1,1,1,0,0,0,0,1,0,3885000
3,1,1,0,43,110,2228,1,0,1,0,0,0,1,0,0,4200000
3,1,1,2,95,220,2576,1,0,0,0,1,0,0,1,0,5943000
4,2,4,1,46,124,2960,1,0,0,0,0,0,0,1,0,6300000
2,1,1,0,47,107,1959,1,0,0,0,1,0,0,0,1,3675000
3,2,1,1,74,176,2493,1,0,1,0,1,1,1,0,0,6615000
2,1,1,1,42,97,1634,1,0,0,0,0,0,0,0,1,3150000
4,1,2,0,46,105,2044,1,0,0,0,1,0,0,1,0,4007500
3,1,1,0,65,147,2185,1,0,0,0,0,0,0,0,1,4900000
2,1,1,0,52,122,1606,1,0,1,0,1,0,0,0,1,3080000
3,2,1,0,64,147,2483,1,1,1,0,0,1,0,0,1,6020000
3,1,2,2,47,113,2781,1,0,1,1,0,0,0,1,0,8750000
2,1,1,1,86,201,2890,1,0,1,1,0,0,1,0,0,6930000
3,1,3,1,55,129,2273,1,0,0,0,0,1,0,0,1,6230000
3,1,2,0,40,94,1902,1,0,0,0,0,1,0,1,0,4403000
2,1,1,0,31,81,1544,0,0,0,0,1,0,0,0,1,3290000
3,1,1,1,53,133,2328,1,1,1,0,1,1,0,1,0,6300000
3,1,1,0,35,84,1213,0,0,0,0,0,0,0,1,0,1767150
3,2,3,0,48,128,2398,1,0,0,0,1,1,1,0,0,6650000
3,2,4,0,46,124,2593,1,0,0,0,1,0,0,0,1,5775000
3,1,2,1,46,110,2394,1,0,1,1,0,0,1,0,0,6650000
3,1,1,2,42,112,2059,1,0,0,0,0,1,0,0,1,4403000
2,1,1,2,76,178,2526,1,0,0,0,1,1,0,0,1,4760000
3,1,2,0,43,99,1686,0,0,1,0,0,0,0,1,0,3360000
6,1,2,1,43,103,1914,1,0,0,0,0,0,0,0,1,3500000
3,2,3,0,52,133,2655,1,0,0,0,1,1,1,0,0,6650000
3,1,3,0,43,107,2026,1,0,0,0,0,0,0,1,0,4200000
4,2,1,2,44,111,2438,0,0,1,0,1,0,0,1,0,5215000
3,1,2,2,91,206,3217,1,0,1,0,1,1,1,0,0,9800000
3,1,1,2,47,123,2266,1,1,1,0,1,1,1,0,0,6650000
3,1,2,2,51,134,2047,1,0,0,0,1,1,1,0,0,4830000
3,1,2,1,34,91,2462,1,0,0,0,1,0,1,0,0,4473000
3,2,3,0,49,127,2608,1,1,0,0,1,0,1,0,0,6650000
2,1,1,1,34,89,1567,1,0,0,0,0,0,0,0,1,2450000
4,3,4,2,71,163,3030,1,0,0,0,1,1,0,1,0,10150000
3,2,3,1,52,120,2430,1,0,0,1,0,0,1,0,0,4340000
3,1,1,0,71,185,1467,1,0,0,0,0,0,0,0,1,3500000
3,1,1,0,35,87,1640,0,0,0,0,0,0,1,0,0,3353000
3,1,2,0,52,124,2327,1,1,1,0,1,1,0,0,1,5600000
3,1,1,2,57,142,2747,1,0,1,0,0,1,0,0,1,5880000
3,2,1,2,46,121,2352,1,1,1,0,0,1,1,0,0,6195000
3,1,1,1,58,136,2704,1,0,0,0,1,0,1,0,0,6860000
3,2,2,1,72,166,2629,1,0,1,0,1,0,1,0,0,6930000
2,1,2,0,44,117,2421,1,0,0,0,0,1,0,1,0,4690000
3,2,2,1,39,102,2704,1,0,1,0,1,0,0,1,0,6615000
2,1,1,0,47,111,2230,1,0,0,0,0,0,0,1,0,3710000
3,2,4,0,54,130,2538,1,0,0,0,1,0,0,0,1,5740000
3,1,1,0,44,107,1910,1,0,0,0,0,0,0,1,0,2660000
3,2,4,2,53,139,2750,1,0,0,0,1,0,0,0,1,8400000
3,1,2,1,43,107,2136,1,0,0,0,0,0,1,0,0,4907000
3,2,2,0,27,73,2102,0,0,0,0,0,0,0,0,1,3500000
3,1,4,0,55,126,2292,1,0,0,0,1,1,0,0,1,6720000
3,1,3,0,57,136,2554,1,0,0,0,0,1,0,1,0,5600000
2,1,1,1,51,137,1881,1,0,0,0,0,0,0,1,0,3500000
3,1,3,0,43,102,2389,1,0,0,0,0,0,0,1,0,4515000
3,2,2,2,60,160,3656,1,0,1,0,0,1,0,1,0,12250000
2,2,4,0,51,133,2612,1,0,1,0,0,1,1,0,0,6685000
3,2,2,1,46,114,1702,1,0,0,0,1,0,0,1,0,4200000
2,1,1,0,52,119,1833,1,0,0,0,0,0,0,0,1,2590000
3,1,2,0,51,117,1669,1,0,0,0,0,0,0,0,1,2485000
2,1,1,0,48,124,2475,1,1,1,0,1,0,0,1,0,4900000
3,1,1,0,67,153,1620,0,0,0,0,0,0,0,0,1,3500000
3,1,2,0,39,95,2006,0,0,1,1,0,0,0,1,0,3703000
2,2,1,2,53,121,1661,1,0,0,0,1,0,0,1,0,5285000
3,2,2,2,49,120,2383,1,0,0,0,0,0,0,0,1,4060000
2,1,1,0,43,103,1388,1,0,0,0,0,0,0,0,1,1750000
4,1,3,2,38,92,1767,1,0,1,0,1,0,0,1,0,4060000
4,2,2,0,51,132,2482,1,1,1,0,0,1,0,1,0,5460000
2,1,1,1,44,111,1876,1,0,0,0,0,0,0,1,0,4305000
4,1,3,0,61,138,2120,1,1,1,0,0,1,0,0,1,6265000
3,1,2,0,34,89,1981,1,0,0,0,0,0,0,1,0,3920000
3,2,1,2,54,142,2382,1,0,0,0,0,0,0,0,1,6895000
3,1,1,0,36,91,1871,0,0,0,0,1,0,0,0,1,3115000
2,1,1,0,44,104,1798,1,0,1,0,0,0,1,0,0,3675000
3,1,1,0,66,165,2277,1,0,0,0,0,0,0,1,0,4515000
3,1,1,0,43,103,1685,1,0,0,0,0,0,0,0,1,2750000
3,2,3,0,65,156,2376,1,0,0,0,1,0,1,0,0,6510000
4,1,2,0,38,95,1832,1,0,1,0,1,0,0,0,1,3290000
4,1,2,0,36,91,948,1,0,0,0,0,0,0,0,1,2100000
3,1,2,0,50,131,2069,1,1,0,0,0,0,0,1,0,4235000
3,1,2,1,36,95,2256,1,0,0,0,0,0,0,1,0,4193000
2,1,1,0,57,132,2260,1,0,0,0,1,0,0,1,0,4095000
2,1,1,1,34,88,1029,0,0,0,0,0,0,0,0,1,1855000
2,1,2,1,42,101,1729,1,0,0,1,0,0,0,1,0,3780000
3,2,4,1,51,126,2916,1,1,0,0,1,1,0,0,1,9800000
2,1,1,0,38,92,1648,0,0,0,0,0,0,0,0,1,2135000
3,1,1,0,50,114,2265,1,1,1,0,1,0,0,0,1,4620000
4,1,4,0,55,134,2308,1,1,0,0,1,0,1,0,0,5460000
3,1,1,0,32,76,1215,0,0,0,1,0,0,0,0,1,2240000
3,1,2,0,53,120,2085,0,0,1,0,1,0,0,1,0,4007500
4,2,4,0,55,132,2375,1,0,0,0,1,0,0,0,1,6755000
3,1,2,1,33,85,1585,1,0,1,0,0,0,0,0,1,2800000
3,1,2,0,40,103,2077,0,0,0,0,0,0,0,1,0,4410000
3,1,3,0,53,125,2068,1,0,0,0,1,0,0,1,0,5810000
3,2,2,0,38,92,1725,0,0,1,0,0,1,0,0,1,3640000
3,1,2,0,38,94,1875,0,0,0,0,0,0,1,0,0,3220000
5,2,3,0,54,123,2417,0,0,1,1,0,0,0,0,1,5600000
3,1,1,1,59,154,2573,1,0,1,0,0,1,1,0,0,6300000
2,1,1,0,49,113,2495,1,0,0,0,0,0,0,1,0,3850000
3,2,2,0,49,112,2564,1,0,1,0,1,1,0,1,0,6790000
3,1,1,0,59,136,2100,1,0,1,0,0,1,0,1,0,5243000
3,1,4,0,51,123,2366,1,0,0,0,1,0,0,1,0,4690000
4,2,3,2,60,140,2486,1,0,0,0,1,1,1,0,0,7035000
2,1,1,0,37,96,1368,1,1,0,0,0,0,0,0,1,2450000
4,2,4,1,59,147,2922,1,1,0,0,1,0,0,1,0,7210000
4,1,2,0,48,117,2022,1,0,0,0,0,0,0,0,1,3325000
4,1,2,1,43,112,1994,1,1,1,0,1,0,1,0,0,5600000
4,1,2,2,54,141,2894,1,0,0,0,1,0,1,0,0,5040000
2,1,1,1,39,96,1762,0,1,0,0,0,0,0,0,1,2450000
2,1,1,0,47,107,1260,1,0,0,0,0,0,0,0,1,1890000
3,3,2,1,61,138,2835,1,1,1,0,0,0,0,0,1,8190000
3,1,3,0,45,110,1993,1,0,0,0,0,0,0,0,1,4830000
3,1,1,0,32,81,1660,0,0,0,0,0,0,0,0,1,2660000
4,2,3,2,56,142,3941,1,0,0,0,1,1,1,0,0,13300000
4,3,2,2,55,133,3299,1,1,1,1,0,0,0,1,0,9681000
2,1,1,0,42,99,1588,1,0,0,0,0,0,0,0,1,2380000
3,1,1,1,70,160,3141,1,1,1,0,1,0,1,0,0,8645000
2,1,1,0,52,126,1878,1,0,0,0,0,0,1,0,0,3703000
3,1,2,0,38,87,1449,1,0,0,0,0,0,0,0,1,2100000
3,2,3,0,62,143,2366,1,0,0,0,1,0,0,0,1,5880000
3,1,2,2,36,98,2573,1,0,0,1,0,0,0,1,0,6510000
6,2,2,0,48,114,2603,1,0,0,0,0,0,1,0,0,6083000
4,1,2,1,42,101,1668,0,0,0,0,0,0,0,1,0,3290000
3,1,2,1,40,102,2030,1,0,0,0,0,1,0,1,0,4585000
4,2,1,0,49,120,2378,1,0,1,0,0,0,0,1,0,4893000
3,1,1,1,75,176,2238,1,0,0,0,0,1,0,1,0,5250000
3,1,3,0,30,78,2151,1,0,0,1,1,1,0,1,0,3640000
3,2,2,2,51,119,3138,1,1,0,0,1,0,1,0,0,8890000
